Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Senior Data Scientist,$108K - $173K (Glassdoor est.),"Looking for a company that inspires passion, courage and imagination, where you can be part of the team shaping the future of global commerce? Want to shape how millions of people buy, sell, connect, and share around the world? If youre interested in joining a purpose driven community that is dedicated to crafting an ambitious and inclusive workplace, join eBay a company you can be proud to be a part of.

With 170+ million active users and over a billion active product listings, eBay is the worlds most vibrant and dynamic online marketplace. eBays Internet Marketing group operates at the forefront of e-commerce by combining marketing science and innovation to help grow eBays business through a variety of online marketing channels.

The Performance Marketing Analytics organization is adding a data scientist with strong analytics and programming skills to help our measurement efforts. The team member will focus on crafting and analyzing tests to measure the efficiency of our marketing campaigns. Operating with a fast test-and-learn mentality, the position will collaborate with a team with varied strengths and located across the globe.

The very special and exceptionally detailed candidate will have experience working with digital performance marketing at large corporations, measuring and optimizing e-commerce or app ads to deliver substantial growth.

Benefits are an essential part of your total compensation for the work you do every day. Whether youre single, in a growing family, or nearing retirement, eBay offers a variety of comprehensive and competitive benefit programs to meet your needs. Including maternal & paternal leave, paid sabbatical, and plans to help ensure your financial security today and in the years ahead because we know feeling financially secure during your working years and through retirement is important.

Here at eBay, we love creating opportunities for others by connecting people from a diverse group of backgrounds, perspectives, and geographies. So, being diverse and inclusive isnt just something we strive for, it is who we are, and part of what we do each and every single day. We want to ensure that as an employee, you feel eBay is a place where, no matter who you are, you feel safe, included, and that you have the opportunity to bring your unique self to work.

To learn about eBays Diversity & Inclusion click here: https://www.ebayinc.com/company/diversity-inclusion/

#LI-JS5

eBay Inc. is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, veteran status, and disability, or other legally protected status. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at talent@ebay.com. We will make every effort to respond to your request for disability assistance as soon as possible.

For more information see: EEO is the Law Poster and EEO is the Law Poster Supplement

This website uses cookies to enhance your experience. By continuing to browse the site, you agree to our use of cookies

View our privacy policy and",4.0,eBay,"San Francisco, CA","10000+ Employees
Founded
1995",1995,Company - Public,Internet,Information Technology,$10+ billion (USD)
"SENIOR ANALYTICS DATA SCIENTIST, SMALL BUSINESS LENDING",$108K - $173K (Glassdoor est.),"The Organization

Small businesses uplift communities and anchor localeconomies, while creating opportunities for themselves, their families, theiremployees, and our neighborhoods. Yet entrepreneurs who are people of color,women and i﻿mmigrants often struggle to secure capital and resources, as theyare systematically shut out from traditional financing.

Accion Opportunity Fund is an unparalleled financial supportsystem that provides these small business owners with access to capital,networks, and coaching. We work to build inclusive and accessible options forthese determined business owners. For over 25 years we have served a clientbase that is nearly 90% women, people of color, or immigrants.",-1,Accion Opportunity Fund,"San Jose, CA",-1,-1,-1,-1,-1,-1
Senior Data Scientist,$108K - $173K (Glassdoor est.),"About Splunk:
Join us as we pursue our disruptive new vision to make machine data accessible, usable and valuable to everyone. We are a company filled with people who are passionate about our product and seek to deliver the best experience for our customers. At Splunk, we’re committed to our work, customers, having fun and most importantly to each other’s success. Learn more about Splunk careers and how you can become a part of our journey!
As part of Splunk’s R&D team, we are passionate about providing quantitative analytics and evidence to inform business decisions. We partner with cross-functional business stakeholders to identify and address critical business questions and use data, analytical methods, and modeling to translate quantitative assessments into actionable insights. Analyses inform business challenges such as guiding product roadmaps, streamlining engineering development lifecycles, and accelerating customer adoption and utilization trends. We are hiring Data Scientists and Engineers who are passionate about solving practical business questions with data-driven analytics.",4.1,Splunk,"San Jose, CA","5001 to 10000 Employees
Founded
2003",2003,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $2 billion (USD)
Data Scientist: Real-time Credit & Insights,$108K - $173K (Glassdoor est.),"Pngme offers unified financial data for 3.3 billion people

At Pngme, we believe everyone deserves equal access to finance. Our platform enables this by making the process of collecting, analyzing, and using financial data by financial institutions frictionless and simple. Banks, Fintechs, and Credit Bureaus use our platform to create innovative financial products for un/underserved people. Our platform enables one-click data sharing, real time insights, and credit scoring. Pngme is on a mission to give ownership of data back to people, thereby giving equal access to finance and enabling wealth creation for billions of people.

Our offices are located in San Francisco, Lagos, and Nairobi. We invest heavily in our employees and pride ourselves on our inclusive culture and ongoing professional development that focuses on finding your 'perfect fit'. We are backed by Radical Ventures, Unshackled Ventures, Lateral Capital, Echo VC, as well as the inventor of Amazon Alexa and other renowned investors. We have team members and advisors from PayPal Ventures, Branch International, Juvo, and Layer6.

We are looking for a data scientist that has worked on tech products at scale that wants to join a dynamic and innovative data engineering organization. You will be working on some of the most critical features and technology for our company. Join us on our mission to give equal access to finance to anyone.",-1,Pngme,"San Francisco, CA",-1,-1,-1,-1,-1,-1
Data Scientist: Real-time Credit & Insights,$108K - $173K (Glassdoor est.),"Pngme offers unified financial data for 3.3 billion people

At Pngme, we believe everyone deserves equal access to finance. Our platform enables this by making the process of collecting, analyzing, and using financial data by financial institutions frictionless and simple. Banks, Fintechs, and Credit Bureaus use our platform to create innovative financial products for un/underserved people. Our platform enables one-click data sharing, real time insights, and credit scoring. Pngme is on a mission to give ownership of data back to people, thereby giving equal access to finance and enabling wealth creation for billions of people.

Our offices are located in San Francisco, Lagos, and Nairobi. We invest heavily in our employees and pride ourselves on our inclusive culture and ongoing professional development that focuses on finding your 'perfect fit'. We are backed by Radical Ventures, Unshackled Ventures, Lateral Capital, Echo VC, as well as the inventor of Amazon Alexa and other renowned investors. We have team members and advisors from PayPal Ventures, Branch International, Juvo, and Layer6.

We are looking for a data scientist that has worked on tech products at scale that wants to join a dynamic and innovative data engineering organization. You will be working on some of the most critical features and technology for our company. Join us on our mission to give equal access to finance to anyone.",-1,Pngme,"San Francisco, CA",-1,-1,-1,-1,-1,-1
Senior Data Scientist,$108K - $173K (Glassdoor est.),"As a Senior Data Scientist for Product at CircleCI, you will:
Be a thought leader in using data to improve CI/CD practices
Build and deploy models supporting product features that help 100,000+ developers ship code faster
Coach a team of mid-to-senior-level product analysts to improve data-science skills
Build company-wide practices to enable model discovery, deployment, monitoring, and governance
About Product's Data Science and Analytics team at CircleCI


You will be a member of CircleCI's 10-member Analytics and Data Science team. You will report to the team's director. The team is part of CircleCI's product organization. The team is focused on improving our product experience, enabling data-driven product management, and improving company-wide data practices. You will partner with product managers and leaders. You will collaborate with Data Engineering, Analytics Engineering, Design, and other stakeholders.



You can work remotely anywhere in North America. You also have the option to work out of our San Francisco, Denver, Boston or Toronto offices. CircleCI is a distributed company with team members across 50+ cities and 13 countries.



If you're interested in joining the team at CircleCI, please send a resumé and a cover letter if you'd like to let us know describing what inspires you and why you think you are a good fit for the team. If you contribute to an open-source project, write a blog, or have a presence on the web (GitHub, Twitter, Stack, etc.) we would love to hear about it.

We know there's no such thing as a ""perfect"" candidate. We're all a work in progress and are growing new skills and capabilities all the time. CircleCI welcomes those who are enthusiastic about learning and evolving, so however you identify and whatever your background, if this looks like a role where you could do work that excites you, we hope you'll apply.



CircleCI is the world's largest shared continuous integration and continuous delivery (CI/CD) platform, and the central hub where code moves from idea to delivery. As one of the most-used DevOps tools that processes more than 1 million builds a day, CircleCI has unique access to data on how engineering teams work, and how their code runs. Companies like Spotify, Coinbase, Stitch Fix, and BuzzFeed use us to improve engineering team productivity, release better products, and get to market faster.

Founded in 2011 and headquartered in downtown San Francisco with a global, remote workforce, CircleCI is venture-backed by IVP, Sapphire Ventures, Owl Rock, NextEquity Partners, Scale Venture Partners, Threshold Ventures, Baseline Ventures, Top Tier Capital Partners, Industry Ventures, Heavybit, and Harrison Metal Capital. Learn more at https://circleci.com.

CircleCI is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.",3.4,CircleCI,"San Francisco, CA","201 to 500 Employees
Founded
2011",2011,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
"Data Scientist, Computer Vision",$45K - $84K (Glassdoor est.),"Zefr is hiring! We are hiring a Data Scientist with expertise in computer vision to be involved in building and optimizing large-scale systems to acquire, process, store, and understand multiple terabytes of social video such as YouTube and Facebook. This role is an important part of the rapidly growing demands of being the leader in understanding content in order to better serve our brand partners. In this role you will use computer vision techniques to understand what hundreds of millions of videos are about. We are excited to welcome someone who is passionate about cutting edge research in machine learning and computer vision. We want an individual who is able to digest research papers and implement interesting ones. This is a role where we both expect to learn from you and have you learn from us!
Here's what you'll get to do:
Participate as a member of the Technology organization while working closely with other data scientists, engineers, and product managers",3.8,ZEFR,California,201 to 500 Employees,-1,Company - Private,Motion Picture Production & Distribution,Media,$10 to $25 million (USD)
Business Analyst/Data Scientist,$45K - $84K (Glassdoor est.),"Location
Menlo Park, CA
Experience
Years
Job Code
CA-2020-5
Preferred Education:
Bachelor’s degree in Computer Science, Computer Engineering, Industrial Engineering, Information Technology, Software Engineering or a similar related field of study. Master’s degree in any of these fields is a plus 1 to 3 years of related experience.",3.5,ACL Digital,"Menlo Park, CA","1001 to 5000 Employees
Founded
1992",1992,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Data Scientist - Business Interfaces,$45K - $84K (Glassdoor est.),"We’re looking for Data Scientists to work on our business products (ex. Ads Manager, Facebook Business Suite, Small Business tools) to help shape the future of what we build at Facebook. You will support the two hundred million businesses, including ten million advertisers, who depend on us for their livelihoods. You will create the tools that power Facebook's core revenue streams, including new business models, that are used by businesses, big and small, all around the world. You will enjoy working with one of the richest data sets in the world, cutting edge technology, and the ability to see your insights turned into real products on a regular basis. You should have a background in a quantitative or technical field, experience working with large data sets, and experience in data-driven decision making. You are focused on results, a self-starter, and have demonstrated success in using analytics to drive the understanding, growth, and success of a product.
Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with our business products. Users include all forms of businesses, salespeople, developers, and more",4.3,Facebook,"San Francisco, CA","10000+ Employees
Founded
2004",2004,Company - Public,Internet,Information Technology,$5 to $10 billion (USD)
Data Scientist - Clinical,$45K - $84K (Glassdoor est.),"About Lyra Health
Lyra is transforming mental health care through technology with a human touch to help people feel emotionally healthy at work and at home. We work with industry leaders, such as Morgan Stanley, Genentech, uber, Amgen, and other Fortune 500 companies, to improve access to effective, high-quality mental health care for their employees and their families. With our innovative digital care platform and elite provider network, 2 million people can receive the best care and feel better, faster. Founded by David Ebersman, former CFO of Facebook and Genentech, Lyra has raised more than $480 million.

About the Role
At Lyra we believe that data-driven technology and decision making is a critical part of solving the thorny, complex challenges of provider quality and accessibility in a broken system. We are looking for a research focused Data Scientist who cares about clinical quality, impact, ownership and cross functional collaboration.",4.7,Lyra Health,"Burlingame, CA","201 to 500 Employees
Founded
2015",2015,Company - Private,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
Health Advocate E2H Data Scientist,$45K - $84K (Glassdoor est.),"JOB DESCRIPTION

The core focus of this position will be working with medical claims and other benefits data, both structured and unstructured, to develop real-time predictive models using machine learning and advanced statistical techniques.

BASIC FUNCTION

Responsible for working with medical claims and other benefits data, both structured and unstructured, to develop real-time predictive models using machine learning and advanced statistical techniques; design and code custom tools for both client and internal needs to enable data-driven decision making that is unique within the healthcare industry; maintain and improve existing models and pipeline projects.



Applicant for this job will be expected to meet the following minimum qualifications.

Experience
Other


Connecting people with each other and the right information is mission critical. Intrado develops innovative cloud-based technology to make it easier, more effective and more efficient to make the right connections. Our solutions put people in sync with each other and the right information, so they gain the insight needed to reach better decisions on the issues that matter most. We do it with a laser focus on reliability.

Intrado is a leading provider of technology-driven, communication services, serving Fortune 1000 companies and other clients in a variety of industries, including telecommunications, retail, financial services, public safety, technology and healthcare. For more than 30 years, we have been leading the way in hosted and cloud-based solutions.

Our solutions connect people with each other and the information needed to gain insights for better decisions on the issues that matter most -

Intrado has sales and/or operations in the United States, Canada, Europe, the Middle East, Asia Pacific, Latin and South America and is an Equal Opportunity Employer - Veterans/Disabled and Other Protected Categories.



Health Advocate is the nation's leading provider of health advocacy, navigation, well-being and integrated benefits programs. For nearly 20 years, Health Advocate has provided expert support to help our members navigate the complexities of healthcare and achieve the best possible health and well-being. Our solutions leverage a unique combination of best-in-class, personalized support with powerful predictive data analytics and a proprietary technology platform to address nearly every clinical, administrative, wellness or behavioral health need. Whether facing common issues or an unprecedented challenge like COVID-19, our team of highly trained, compassionate experts work together to go above and beyond expectations, making healthcare easier for our members and ensuring they get the care they need.",-1,,"Westlake Village, Los Angeles, CA",-1,-1,-1,-1,-1,-1
Lead Data Scientist,$45K - $84K (Glassdoor est.),"Data Science is at the core of the company DNA. Our mission is to make accurate data accessible to brands across the world.

This Jobot Job is hosted by: Christina Finster
Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume.
Salary: $175,000 - $200,000 per year

A bit about us:

Founded in 2016, We are on a mission to determine the net worth of everyone on the planet. More than 400 organizations use us to identify and engage their most promising constituents. Based in San Francisco and backed by Bullpen Capital, Bonfire Ventures, Industry Ventures, TenOneTen Ventures. ValueStream Ventures, and Auren Hoffman.

Data Science is at the core of the company DNA. Our mission is to make accurate data accessible to brands across the world.

As a member of the data science team, the data scientist will work on groundbreaking R&D projects to leverage massive structured, unstructured, transactional and real-time data sets from a variety of sources.

Are you ready to drive and scale data science in a hyper-growth environment?



We're a Hyper-growth environment supporting the non-profit sector with data and statistics.

Some highlights of our services, include:
Focus on affluent population of a least $1 million in wealth
Precise net worth data, not a score of a range
Unlimited wealth screenings, not limited by the amount of data in our partners CRM
Our data is refreshed on a weekly basis, so our partners get the latest and greatest information



As a the Lead Data Scientist, you will work directly on solving challenging modeling problems that are to our business. You will perform analyses to understand and build confidence in our datasets and work with massive structured, unstructured, transactional and real-time data sets from a variety of sources and execute on plans that improve the accuracy of our data and models. Additionally, you will be responsible for growing the data science team and providing mentorship to more junior team members.

Responsibilities

Requirements

Preferred


Interested in hearing more? Easy Apply now by clicking the ""Apply Now"" button.",4.8,Jobot,"San Francisco, CA","51 to 200 Employees
Founded
2018",2018,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD)
Senior Data Scientist,$45K - $84K (Glassdoor est.),"Craft:
Technology & Development
Job Description:
Activision Blizzard Media and King (a part of Activision- Blizzard) are building a new team to introduce innovative, impactful, and rewarding advertising experiences to our huge audience of highly- engaged players, and to create powerful marketing solutions embraced by the world's biggest marketers.
Activision Blizzard Media is seeking Senior Data Scientists interested in pushing the boundaries of mobile games analytics and advertising performance.",3.2,Jobot,"San Francisco, CA","1001 to 5000 Employees
Founded
2003",2003,Company - Public,Video Games,Media,Unknown / Non-Applicable
Senior Data Scientist,$45K - $84K (Glassdoor est.),"Leading the future of luxury mobility

Lucid’s mission is to inspire the adoption of sustainable energy by creating the most captivating luxury electric vehicles, centered around the human experience. Working at Lucid Motors means having a shared vision to power the future in revolutionary ways. Be part of a once-in-a-lifetime opportunity to transform the automotive industry.

The Sr Data Scientist at Lucid is setting data science foundation for our fast growing data team, to enable the company tackling challenges which are haven’t seen before. Data generated by electric vehicles is a rich and diverse and driving insight from them is a very exciting and challenging task. This opportunity involves defining the path to discover trends, patterns and hidden insights from these data while collaborating with the most brilliant talents in the automotive industry.",4.0,Lucid Motors,"Newark, CA","1001 to 5000 Employees
Founded
2007",2007,Company - Private,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable
Senior Data Scientist,$45K - $84K (Glassdoor est.),"Leading the future of luxury mobility

Lucid’s mission is to inspire the adoption of sustainable energy by creating the most captivating luxury electric vehicles, centered around the human experience. Working at Lucid Motors means having a shared vision to power the future in revolutionary ways. Be part of a once-in-a-lifetime opportunity to transform the automotive industry.

The Sr Data Scientist at Lucid is setting data science foundation for our fast growing data team, to enable the company tackling challenges which are haven’t seen before. Data generated by electric vehicles is a rich and diverse and driving insight from them is a very exciting and challenging task. This opportunity involves defining the path to discover trends, patterns and hidden insights from these data while collaborating with the most brilliant talents in the automotive industry.",3.5,Lucid Motors,"Newark, CA",51 to 200 Employees,-1,-1,-1,-1,Unknown / Non-Applicable
Public Health Data Scientist,$45K - $84K (Glassdoor est.),"Healthcare Staffing Professionals has an immediate need for a Data Scientist. The Data Scientist will assist with COVID-19 administrative efforts and be a part of the core epidemiological team that implements the surveillance system and COVID-19 vaccine response in the County. The Data Scientist will work in a highly dynamic environment and manage numerous data flows and data tasks that necessitate proficiency in SAS, SQL, R, and Python and familiarity with Extract, Transform, Load (ETL) and pipeline automation.
The Data Scientist will report directly to the Supervising Epidemiologist for professional oversight and direction.
The positions will start immediately upon acceptance and employment clearance and are initially funded through 11/30/21 with potential renewal.
Pay Rate-",3.9,"Healthcare Staffing Professionals, Inc.","Los Angeles, CA","1 to 50 Employees
Founded
2006",2006,Company - Public,Health Care Services & Hospitals,Health Care,$10 to $25 million (USD)
Senior Data Scientist,$45K - $84K (Glassdoor est.),"Yumi Headquarters, Remote

About Yumi

Based in Los Angeles, Yumi is a nutrition brand transforming the way parents approach mealtime with healthier meals and content tailored to your baby and delivered direct to your door.

A passionate team of parents, nutritionists, engineers and people who are simply committed to a healthier future, we were appalled by the glut of highly processed, nutrient poor options at the grocery store. We believe families deserve better options especially for the first 1,000 days -- a period recognized by the scientific community as the most important period in a human's life for nutrition and development. Through nutrition and content rooted in science, we want to help parents connect the dots between food and development and raise the standards of the entire market for childhood nutrition. We're well-funded, rapidly-growing and sparking a national movement that's transforming a $48 billion industry.

If you're stoked by our mission and have an entrepreneurial-go-get-em-fire, we'd love to add you to the fam. Let's raise a healthier generation together!

We're looking for data scientists to join the team who are excited about applying their analytical skills to improve our baby food and influence decision making. If you are naturally data curious, excited about deriving insights from data, and motivated by creating healthier, happier future generations, we want to hear from you.

You can read more about our recent press here: NY Times, INC, CNN, CNBC, Forbes, and Mashable.

Yumi provides equal employment opportunities (EEO) in all our employment practices to all employees and applicants for employment without regard to race, color, religion, national origin, gender, age, sexual orientation, gender identity/gender expression, disability, genetic information, marital status, military status, or any other category protected by federal, state, or local laws. This includes prohibiting unlawful discrimination against those associated with or perceived to belong to a protected class, whether or not an employee actually falls into such class. Yumi's EEO practices are upheld in every location that it operates and in all aspects of the employment relationship, including hiring, recruiting, placement, transfer, promotion, compensation, discipline, termination, layoff, recall, training, and leaves of absence.",-1,Yumi,California,Unknown,-1,-1,-1,-1,Unknown / Non-Applicable
Senior Data Scientist,$45K - $84K (Glassdoor est.),"Yumi Headquarters, Remote

About Yumi

Based in Los Angeles, Yumi is a nutrition brand transforming the way parents approach mealtime with healthier meals and content tailored to your baby and delivered direct to your door.

A passionate team of parents, nutritionists, engineers and people who are simply committed to a healthier future, we were appalled by the glut of highly processed, nutrient poor options at the grocery store. We believe families deserve better options especially for the first 1,000 days -- a period recognized by the scientific community as the most important period in a human's life for nutrition and development. Through nutrition and content rooted in science, we want to help parents connect the dots between food and development and raise the standards of the entire market for childhood nutrition. We're well-funded, rapidly-growing and sparking a national movement that's transforming a $48 billion industry.

If you're stoked by our mission and have an entrepreneurial-go-get-em-fire, we'd love to add you to the fam. Let's raise a healthier generation together!

We're looking for data scientists to join the team who are excited about applying their analytical skills to improve our baby food and influence decision making. If you are naturally data curious, excited about deriving insights from data, and motivated by creating healthier, happier future generations, we want to hear from you.

You can read more about our recent press here: NY Times, INC, CNN, CNBC, Forbes, and Mashable.

Yumi provides equal employment opportunities (EEO) in all our employment practices to all employees and applicants for employment without regard to race, color, religion, national origin, gender, age, sexual orientation, gender identity/gender expression, disability, genetic information, marital status, military status, or any other category protected by federal, state, or local laws. This includes prohibiting unlawful discrimination against those associated with or perceived to belong to a protected class, whether or not an employee actually falls into such class. Yumi's EEO practices are upheld in every location that it operates and in all aspects of the employment relationship, including hiring, recruiting, placement, transfer, promotion, compensation, discipline, termination, layoff, recall, training, and leaves of absence.",-1,Yumi,California,Unknown,-1,-1,-1,-1,Unknown / Non-Applicable
Commercial Data Scientist,$45K - $84K (Glassdoor est.),"Career Category
Sales & Marketing Operations
Job Description
HOW MIGHT YOU DEFY IMAGINATION?
You’ve earned your degree. How will you use that achievement to reach your goals? Do more with the knowledge you’ve worked hard to acquire and the passion you already have. At Amgen, our shared mission—to serve patients—drives all that we do. It is key to our becoming one of the world’s leading biotechnology companies, reaching over 10 million patients worldwide. Become the professional you are meant to be in this meaningful role.
.",4.0,Amgen,"Thousand Oaks, CA","10000+ Employees
Founded
1980",1980,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Senior Data Scientist,$45K - $84K (Glassdoor est.),"Position Summary...
What you'll do...
Walmart Labs Core Services: Retail and Emerging Tech team is looking for versatile Senior Data Scientist to focus on building complex, cutting edge, and scalable algorithms for our merchandising organization. We are shaping the future of retail and are ready to work closely with merchants to solve their problems!
Data Strategy: Understands, articulates, and applies principles of the defined strategy to routine business problems that involve a single function.
Data Source Identification: Supports the understanding of the priority order of requirements and service level agreements. Helps identify the most suitable source for data that is fit for purpose. Performs initial data quality checks on extracted data.




Option 1- Bachelor’s degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology, or related field and 3
years' experience in an analytics related field. Option 2- Master’s degree in Statistics, Economics, Analytics, Mathematics, Computer Science,
Information Technology, or related field and 1 years' experience in an analytics related field. Option 3 - 5 years' experience in an analytics or
related field.
Data science, machine learning, optimization models, Master’s degree in Machine Learning, Computer Science, Information Technology, Operations Research, Statistics, Applied Mathematics, Econometrics, Successful completion of one or more assessments in Python, Spark, Scala, or R, Using open source frameworks (for example, scikit learn, tensorflow, torch)
860 W CALIFORNIA AVENUE, SUNNYVALE, CA 94086-0000, United States of America",3.3,Walmart,"Sunnyvale, CA","10000+ Employees
Founded
1994",1994,Company - Public,General Merchandise & Superstores,Retail,$10+ billion (USD)
Senior Data Scientist,$45K - $84K (Glassdoor est.),"Position Summary...
What you'll do...
Walmart Labs Core Services: Retail and Emerging Tech team is looking for versatile Senior Data Scientist to focus on building complex, cutting edge, and scalable algorithms for our merchandising organization. We are shaping the future of retail and are ready to work closely with merchants to solve their problems!
Data Strategy: Understands, articulates, and applies principles of the defined strategy to routine business problems that involve a single function.
Data Source Identification: Supports the understanding of the priority order of requirements and service level agreements. Helps identify the most suitable source for data that is fit for purpose. Performs initial data quality checks on extracted data.




Option 1- Bachelor’s degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology, or related field and 3
years' experience in an analytics related field. Option 2- Master’s degree in Statistics, Economics, Analytics, Mathematics, Computer Science,
Information Technology, or related field and 1 years' experience in an analytics related field. Option 3 - 5 years' experience in an analytics or
related field.
Data science, machine learning, optimization models, Master’s degree in Machine Learning, Computer Science, Information Technology, Operations Research, Statistics, Applied Mathematics, Econometrics, Successful completion of one or more assessments in Python, Spark, Scala, or R, Using open source frameworks (for example, scikit learn, tensorflow, torch)
860 W CALIFORNIA AVENUE, SUNNYVALE, CA 94086-0000, United States of America",3.3,Walmart,"Sunnyvale, CA","10000+ Employees
Founded
1994",1994,Company - Public,General Merchandise & Superstores,Retail,$10+ billion (USD)
Senior Data Scientist/Statistician,$45K - $84K (Glassdoor est.),"Join a team that is changing millions of lives.


Transforming smiles, changing lives

At Align Technology, we believe a great smile can transform a person’s life, so we create technology that gives people the confidence to take on whatever’s next. We revolutionized the orthodontic industry with the introduction of the Invisalign system, and we have never lost sight of that spirit of innovation. Our diverse and collaborative teams are constantly pushing the boundaries of what’s possible.

Ready to join us?

About this opportunity",4.4,AlignTech,"San Jose, CA","10000+ Employees
Founded
1997",1997,Company - Public,Health Care Products Manufacturing,Manufacturing,$1 to $2 billion (USD)
Sr. Data Scientist,$45K - $84K (Glassdoor est.),"Senior Data Engineer - 100% Remote @ Well-Established, Geo-Location Analytics SaaS Startup!

This Jobot Job is hosted by: Paul Madden
Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume.
Salary: $160,000 - $210,000 per year

A bit about us:

Based in San Francisco, we are a leading analytics company that measures the way media influences people to visit places online, in real-time. We are working with massive amounts of data...a few BILLION DATA POINTS A DAY!!!!

We are now looking for a Data Scientist to help us enhance our next generation online analytics platform. The right individual should have 3+ years of professional Data Scientist experience with strong data analysis and virtualization experience. This individual should be well-versed or highly comfortable with Software Development utilizing Python and SQL. This is a great opportunity to get in on the ground floor as we continue to grow and work side by side with our CTO.






Is your background a fit? Apply if you meet this criteria:


Nice to Have Skills, but Not Required:



Interested in hearing more? Easy Apply now by clicking the ""Apply Now"" button.",4.8,Jobot,"San Jose, CA","51 to 200 Employees
Founded
2018",2018,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD)
Sr Associate Data Scientist,$45K - $84K (Glassdoor est.),"Career Category
Information Systems
Job Description
HOW MIGHT YOU DEFY IMAGINATION?
If you feel like you’re part of something bigger, it’s because you are. At Amgen, our shared mission—to serve patients—drives all that we do. It is key to our becoming one of the world’s leading biotechnology companies. We are global collaborators who achieve together—researching, manufacturing, and delivering ever-better products that reach over 10 million patients worldwide. It’s time for a career you can be proud of. Join us.
.",4.0,Amgen,"Thousand Oaks, CA","10000+ Employees
Founded
1980",1980,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Sr Associate Data Scientist,$45K - $84K (Glassdoor est.),"Career Category
Information Systems
Job Description
HOW MIGHT YOU DEFY IMAGINATION?
If you feel like you’re part of something bigger, it’s because you are. At Amgen, our shared mission—to serve patients—drives all that we do. It is key to our becoming one of the world’s leading biotechnology companies. We are global collaborators who achieve together—researching, manufacturing, and delivering ever-better products that reach over 10 million patients worldwide. It’s time for a career you can be proud of. Join us.
.",4.8,Amgen,"Thousand Oaks, CA","51 to 200 Employees
Founded
2018",2018,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD)
Data Scientist - Clinical Data,$45K - $84K (Glassdoor est.),"About Unlearn
Recent progress in artificial intelligence coupled with a growing resource of longitudinal patient data from historical clinical trials and real world sources provides an unprecedented opportunity to transform clinical trials and speed the development of new medicines.

Unlearn is a science-first company that has invented the first machine learning platform for creating Digital Twins of patients in clinical trials — comprehensive simulations that answer “what would likely happen to this patient if he/she were randomized to the control group?”.

Using information from Digital Twins to estimate treatment effects reduces required sample sizes, increase statistical power, and provides patient-level treatment response information.

It’s about increasing confidence in trial results.",5.0,Unlearn.AI,"San Francisco, CA","1 to 50 Employees
Founded
2017",2017,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Data Scientist (Bioinformatics),$45K - $84K (Glassdoor est.),"Who We Are and What We Do

Bio-Rad is an established world leading biotech company that creates products that help people live longer, healthier lives. Bio-Rad’s Digital Biology Group (DBG) in Pleasanton makes products (including instruments and bioinformatics data platforms) that are helping to eradicate cancer (among other things). We’ve worked hard at building a great culture here at the DBG that cultivates collaboration and innovation, and people are deeply passionate about what they do here. Check Us Out

What We Are Looking For

A Data Scientist excited to work with marketing, software and web developers, and product development scientists. Someone looking to generate insights from big data and to then develop the next generation of standalone and cloud-based software for partition-based digital PCR and single-cell sequencing technologies. Are you passionate about science and delivering products that will have a big impact on improving people’s lives? Do you thrive on taking and owning novel ideas from white board to full product release in a multi-disciplinary environment? Do you want to work in a small, nimble, dynamic environment that still has the steady support of a larger, established company? Come be a key player on our next breakthrough product. Your work will directly improve the quality of our products and have a positive impact on each tested patient!",3.5,"Bio-Rad Laboratories, Inc.","Pleasanton, CA","5001 to 10000 Employees
Founded
1952",1952,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
